id,Equipment Type,Model,Link,GROUND PRESSURE,ARM CROWD FORCE,DUMP HEIGHT,MAXIMUM TRACTION FORCE,BUCKET BREAKOUT FORCE (ISO),NET POWER,FULL TURN TIPPING LOAD,MAX TRAVEL SPEED REVERSE,RATED PAYLOAD,BUCKET BREAKOUT FORCE ISO,HEAPED CAPACITY,ENGINE MODEL,BUCKET BREAKOUT FORCE,Machine Type,BUCKET CAPACITY (HEAPED),TRAVEL SPEED,BUCKET CAPACITY,TAIL SWING RADIUS,MAXIMUM TORQUE,OPERATING CAPACITY,MAX. DIGGING REACH,BOOM BREAKOUT FORCE,"CONFIGURATION: LIFT PATH: (VERTICAL/RADIAL), UNDERCARRAIGE (TIRES, TRACKS)",MAXIMUM GRADE,MAX TRAVEL SPEED FORWARD,SWING SPEED,"CONFIGURATION: COMPACT, CRAWLER, WHEELED, SPECIALITY",DUMP CLEARANCE WITH BUCKET (STANDARD Z-BAR),MAX HINGE PIN HEIGHT,Impact Power Range,TRAVEL SPEED FORWARD,ARM CROWD FORCE (ISO),ARM CROWD FORCE ISO,MAX. DIGGING DEPTH,"CONFIGURATION: ZBAR, TOOL MASTER, EXTENDED BOOM","CONFIGURATIONS: ZBAR, TOOL MASTER, EXTENDED BOOM",BLADE DIGGING DEPTH,MAX TRAVEL SPEED,OPERATING WEIGHT,TRAVEL SPEED REVERSE,Breaker Operating Weight Range,Blow Rate Range
64,Articulated Dump Trucks,HA30,https://na.hd-hyundaice.com/equipment/articulated-dump-trucks/ha30,,,,,,"367 hp @ 2,100 rpm",,9.9 mph,"61,729 lb.",,23.28 yd³,Scania DC09,,,,,,,"1,381 ft. per lb. @ 1,300 rpm",,,,,,34.2 mph,,,,,,,,,,,,,,"51,147 lb.",,,
65,Articulated Dump Trucks,HA45,https://na.hd-hyundaice.com/equipment/articulated-dump-trucks/ha45,,,,,,"489 hp @ 2,100 rpm",,10.6 mph,"90,389 lb.",,34.01 yd³,Scania DC13,,,,,,,"1,750 ft. per lb. @ 1,300 rpm",,,,,,34.2 mph,,,,,,,,,,,,,,"66,359 lb.",,,
66,Compact Loaders,HS120V,https://na.hd-hyundaice.com/equipment/compact-loaders/hs120v,,,"8' 1.4""",,,"69.7 HP  / 2,200 rpm",,,,,,Hyundai/4HTI4,"6,327 lb.",,,,0.58 yd3,,,"2,690 lb.",,"4,354 lb.","VERTICAL, TIRES",,,,,,"10' 6.6""",,,,,,,,,,"8,481 lb.",,,
67,Compact Loaders,HT100V,https://na.hd-hyundaice.com/equipment/compact-loaders/ht100v,,,"8' 1.2""",,,"69.7 hp  / 2,400 rpm",,,,,,Hyundai / 4HTI4,"6,204 lb.",,,,0.58 yd3,,,"2,299 lb.",,"4,766 lb.","VERTICAL, TRACKS",,,,,,"10' 6.4""",,,,,,,,,,"9,755 lb.",,,
68,Special Equipment,HX220RB,https://na.hd-hyundaice.com/equipment/special-equipment/hx220rb,,"23,810 lb.",,,,"167 hp @ 1,800 rpm",,,,,,DOOSAN DL06P,"33,510 lb.",ROAD BUILDER,,,1.2 yd³,"10' 2.6""",,,"32' 5""",,,,,11.7 rpm,SPECIALTY,,,,,,,"20' 11""",,,,2.6 mph,"63,714 lb.",,,
69,Special Equipment,HW250A MH,https://na.hd-hyundaice.com/equipment/special-equipment/hw250a-mh,,N/A,,,,"170 HP @  2,000rpm",,,,,,CUMMINS B6.7,N/A,MATERIAL HANDLER,,,N/A,"8' 11.6""",,,"35' 1.3""",,,,,10.7 rpm,SPECIALTY,,,,,,,"12' 9.5""",,,,21.7 mph,"58,422 lb.",,,
70,Special Equipment,HX300RB,https://na.hd-hyundaice.com/equipment/special-equipment/hx300rb,,"31,085 lb.",,,,"266.7 hp @ 1,800 rpm",,,,,,DOOSAN DL08P,"42,108 lb.",ROAD BUILDER,,,2.09 yd³,"10' 7.4""",,,"35' 0.1""",,,,,9.7 rpm,SPECIALTY,,,,,,,"19' 6.3""",,,,2.6 mph,"81,370 lb.",,,
71,Special Equipment,HX220LL,https://na.hd-hyundaice.com/equipment/special-equipment/hx220ll,,N/A,,,,"167 hp @ 1,800 rpm",,,,,,DOOSAN DL06P,N/A,LOG LOADER,,,N/A,"10' 2.6""",,,"36' 0.9""",,,,,11.7 rpm,SPECIALTY,,,,,,,"11' 3.6""",,,,2.6 mph,"68,784 lb.",,,
72,Special Equipment,HX300LL,https://na.hd-hyundaice.com/equipment/special-equipment/hx300ll,,N/A,,,,"266.7 hp @ 1,800 rpm",,,,,,DOOSAN DL08P,N/A,LOG LOADER,,,N/A,"11' 8.2""",,,"37' 11.5""",,,,,9.7 rpm,SPECIALTY,,,,,,,"12' 3.2""",,,,2.6 mph,"82,673 lb.",,,
73,Dozers,HD100 LGP,https://na.hd-hyundaice.com/equipment/dozers/hd100-lgp,4.2 psi,,,"35,296 lbf",,115.3 hp @ 2200 rpm,,,,,,Hyundai G2 DM03-LED00,,,,5.6 mph,,,,,,,,70% / 35 degrees,,,,,,,,,,,,,"1' 6""",,"24,692 lb.",,,
74,Dozers,HD100 XL,https://na.hd-hyundaice.com/equipment/dozers/hd100,5.6 psi,,,"35,296 lbf",,115.3 hp @ 2200 rpm,,,,,,Hyundai G2 DM03-LED00,,,,5.6 mph,,,,,,,,70% / 35 degrees,,,,,,,,,,,,,"1' 6""",,"23,589 lb.",,,
75,Dozers,HD130 LGP,https://na.hd-hyundaice.com/equipment/dozers/hd130-lgp,4.7 psi,,,"48,401 lbf",,157 hp @ 2200 rpm,,,,,,Perkins 1204J,,,,5.6 mph,,,,,,,,70% / 35 degrees,,,,,,,,,,,,,"1' 4""",,"33,730 lb.",,,
76,Dozers,HD130 XL,https://na.hd-hyundaice.com/equipment/dozers/hd130,6.1 psi,,,"48,401 lbf",,157 hp @ 2200 rpm,,,,,,Perkins 1204J,,,,5.6 mph,,,,,,,,70% / 35 degrees,,,,,,,,,,,,,"1' 4""",,"31,907 lb.",,,
77,Home,Midsize Breakers,https://na.hd-hyundaice.com/midsize-breakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000 ft-lb – 8,850 ft-lb/2,730 J – 6,530 J",,,,,,,,,,,"2,048 – 4,773 lbs/929 – 2,165 kg",300 - 750 bpm/–
78,Home,Small Breakers,https://na.hd-hyundaice.com/small-breakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140 – 1,500 ft-lbs/190 J – 2,050 J",,,,,,,,,,,"253 – 1,354 lbs/115 – 614 kg","550 - 1,250 bpm/–"
79,Breakers,Large Breakers,https://na.hd-hyundaice.com/equipment/breakers/large-breakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,600 ft-lb – 22,000 ft-lb/8,550 J – 16,200 J",,,,,,,,,,,"6,243 – 12,401 lbs/2,832 – 5,625 kg",300 - 500 bpm/–
