id,model_name,product_family,product_category,"Engine Power @ 1,600 rpm - ISO 14396:2002","Engine Power - 2,100 rpm ISO 14396:2002",Rated Speed,"Engine Power - 1,700 rpm ISO 14396:2002",Rated Gross Power - SAE J1995,Gross Power - SAE J1995:2014,Peak Power Speed,Operating Weight,Engine Model,Net Power - SAE J1349:2011,Operating Weight - Standard,Bucket Capacities,Net Power,Maximum Gross Power,Engine Power - ISO 14396:2002,"Engine Power - 1,600 rpm ISO 14396:2002",Operating Weight*,Peak Power Speed - Gross - SAE J1995,Bucket Capacity Range,Bucket Range,Net Power - ISO 9249,Operating Weight - Tier 4 Final*
123,906,Wheel Loaders,Compact Wheel Loaders,,,,,,,,12628 lb,,,,0.75-1.55 m³ (1.0-2 yd³),,74.7 hp,,,,,,,,
124,907,Wheel Loaders,Compact Wheel Loaders,,,,,,,,12765 lb,,,,0.75-1.55 m³ (1.0-2 yd³),,74.7 hp,,,,,,,,
125,908,Wheel Loaders,Compact Wheel Loaders,,,,,,,,14617 lb,,,,0.75-1.55 m³ (1.0-2 yd³),,74.7 hp,,,,,,,,
126,910,Wheel Loaders,Compact Wheel Loaders,,,,,,,,18102 lb,,,,1.3-3.5 m3 (1.7-4.6 yd3),,110 hp,,,,,,,,
127,914,Wheel Loaders,Compact Wheel Loaders,,,,,,,,19103 lb,,,,1.3-3.5 m3 (1.7-4.6 yd3),,110 hp,,,,,,,,
128,920,Wheel Loaders,Compact Wheel Loaders,,,,,,,,21742 lb,,,,1.3-3.5 m3 (1.7-4.6 yd3),,121 hp,,,,,,,,
129,926,Wheel Loaders,Small Wheel Loaders,,,,,170 hp,,,27972 lb,,,,1.9-5 m3 (2.5-6.5 yd3),,,,,,,,,,
130,930,Wheel Loaders,Small Wheel Loaders,,,,,170 hp,,,31124 lb,,,,1.9-5 m3 (2.5-6.5 yd3),,,,,,,,,,
131,938,Wheel Loaders,Small Wheel Loaders,,,,,191 hp,,,35528 lb,,,,1.9-5 m3 (2.5-6.5 yd3),,,,,,,,,,
132,926M,Wheel Loaders,Small Wheel Loaders,,,,,,,,28193 lb,,,,1.9-5 m3     (2.5-6.5 yd3),,168 hp,,,,,,,,
133,926M Aggregate Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,28577 lb,,,,2.5-5 m3    (3.3-6.5 yd3),,168 hp,,,,,,,,
134,930M,Wheel Loaders,Small Wheel Loaders,,,,,,,,31382 lb,,,,2.1-5 m3    (2.7-6.5 yd3),,168 hp,,,,,,,,
135,930M Ag Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,31382 lb,,,,2.1-5 m³ (2.7-6.5 yd³),,168 hp,,,,,,,,
136,930M Aggregate Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,31848 lb,,,,2.5-5 m3     (3.3-6.5 yd3),,168 hp,,,,,,,,
137,930M Waste Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,37713 lb,,,,3.0-5 m3    (3.9-6.5 yd3),,168 hp,,,,,,,,
138,938M,Wheel Loaders,Small Wheel Loaders,,,,,,,,35778 lb,,,,2.5-5 m3    (3.2-6.5 yd3),,188 hp,,,,,,,,
139,938M Aggregate Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,36839 lb,,,,2.9-5 m3      (3.8-6.5 yd3),,188 hp,,,,,,,,
