id,model_name,product_family,product_category,Maximum Weight at Stick Nose,Maximum Pin Height at Stick Nose,Maximum Digging Depth,Net Power,Maximum Travel Speed,Operating Weight Maximum,Forward/Reverse - 2nd Gear,Operating Weight,Dig Depth,Engine Power - ISO 14396:2002,Net Power - ISO 9249
210,300.9D VPS &amp; HPU300,Excavators,Mini Excavators,,,,13 hp,,,,2399 lb,68 in,,
211,301.5,Excavators,Mini Excavators,,,,21 hp,,,,3913 lb,100 in,,
212,301.7 CR,Excavators,Mini Excavators,,,,21 hp,,,,4222 lb,100 in,,
213,301.8,Excavators,Mini Excavators,,,,21 hp,,,,4473 lb,101.2 in,,
214,302 CR,Excavators,Mini Excavators,,,,21 hp,,,,4987 lb,101.2 in,,
215,302.7 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,6725 lb,106.7 in,,
216,303 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,7817 lb,116.1 in,,
217,303.5 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,9239 lb,122.4 in,,
218,304,Excavators,Mini Excavators,,,,45 hp,,,,9867 lb,138.2 in,,
219,305 CR - Tier 4 / Stage V,Excavators,Mini Excavators,,,,45 hp,,,,12688 lb,144.5 in,,
220,306 CR,Excavators,Mini Excavators,,,,55.9 hp,,,,15766 lb,162 in,,
221,307.5 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,54.8 hp,,,,17905 lb,182.8 in,,
222,308 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,18493 lb,182.8 in,,
223,308 CR VAB,Excavators,Mini Excavators,,,,69.5 hp,,,,20385 lb,150.2 in,,
224,309 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,21091 lb,182.8 in,,
225,309 CR VAB (Long Undercarriage),Excavators,Mini Excavators,,,,69.5 hp,,,,21477 lb,150.2 in,,
226,310 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,69.5 hp,,,,23002 lb,205.2 in,,
227,313 GC - Tier 4 / Stage V,Excavators,Small Excavators,,,19.8 ft,,,,,30400 lb,,,73 hp
228,313,Excavators,Small Excavators,,,19.2 ft,,,,,30400 lb,,,108 hp
