id,equipment_name,model,spec_name,spec_value
202,Single drum rollers  & soil compactors  XS263,XS263,Operating weight(kg),26000
203,Single drum rollers  & soil compactors  XS263,XS263,"Axle load, front(kg)",17000
204,Single drum rollers  & soil compactors  XS263,XS263,"Axle load, rear(kg)",9000
205,Single drum rollers  & soil compactors  XS203,XS203,Operating weight(kg),20000
206,Single drum rollers  & soil compactors  XS203,XS203,"Axle load, front(kg)",13500
207,Single drum rollers  & soil compactors  XS203,XS203,"Axle load, rear(kg)",6500
208,Single drum rollers  & soil compactors  XS183,XS183,Operating weight(kg),18000
209,Single drum rollers  & soil compactors  XS183,XS183,"Axle load, front(kg)",11500
210,Single drum rollers  & soil compactors  XS183,XS183,"Axle load, rear(kg)",6500
211,Single drum rollers  & soil compactors  CV163U(Tier4F),CV163U(Tier4F),Operating weight(kg),16000
212,Single drum rollers  & soil compactors  CV163U(Tier4F),CV163U(Tier4F),"Axle load, front(kg)",10000
213,Single drum rollers  & soil compactors  CV163U(Tier4F),CV163U(Tier4F),"Axle load, rear(kg)",6000
214,Single drum rollers  & soil compactors  XS163,XS163,Operating weight(kg),16000
215,Single drum rollers  & soil compactors  XS163,XS163,"Axle load, front(kg)",9750
216,Single drum rollers  & soil compactors  XS163,XS163,"Axle load, rear(kg)",6250
217,Single drum rollers  & soil compactors  XS143,XS143,Operating weight(kg),14000
218,Single drum rollers  & soil compactors  XS143,XS143,"Axle load, front(kg)",8000
219,Single drum rollers  & soil compactors  XS143,XS143,"Axle load, rear(kg)",6000
220,Single drum rollers  & soil compactors  XS133,XS133,Operating weight(kg),13000
221,Single drum rollers  & soil compactors  XS133,XS133,"Axle load, front(kg)",7500
222,Single drum rollers  & soil compactors  XS133,XS133,"Axle load, rear(kg)",5500
223,Single drum rollers  & soil compactors  XS123,XS123,Operating weight(kg),12000
224,Single drum rollers  & soil compactors  XS123,XS123,"Axle load, front(kg)",6700
225,Single drum rollers  & soil compactors  XS123,XS123,"Axle load, rear(kg)",5300
226,Single drum rollers  & soil compactors  CV123U(Tier4F),CV123U(Tier4F),Operating weight(kg),12400
227,Single drum rollers  & soil compactors  CV123U(Tier4F),CV123U(Tier4F),"Axle load, front(kg)",6700
228,Single drum rollers  & soil compactors  CV123U(Tier4F),CV123U(Tier4F),"Axle load, rear(kg)",5700
229,Single drum rollers  & soil compactors  XS113E(TIRE II),XS113E(TIRE II),Operating weight(kg),10400
230,Single drum rollers  & soil compactors  XS113E(TIRE II),XS113E(TIRE II),"Axle load, front(kg)",5400
231,Single drum rollers  & soil compactors  XS113E(TIRE II),XS113E(TIRE II),"Axle load, rear(kg)",5000
232,Single drum rollers  & soil compactors  XS113(tire II),XS113(tire II),Operating weight(kg),10800
233,Single drum rollers  & soil compactors  XS113(tire II),XS113(tire II),"Axle load, front(kg)",5900
