id,Equipment Type,Model,Theoretical Rated Output,Discharge Height,The Capacity of Aggregate Storage Hopper,Maximum Theorical Output,Maximum Theorical Pressure on Concrete,Rated Power,Power,Maxiumm Vertical Reach,Agitator Capacity,Max. Rotation Speed,Power Rating
23,Trailer Pumps,HBT100.18.186RSU,,,,,100/180bar,,186/199kW,,,93/54m3/h,
24,Trailer Pumps,HBT105.21.273RSD,,,,,130/210,,286/273,,,105/65,
25,Trailer Pumps,HBT105.21.286RSD,,,,,130/210bar,,286/273kW,,,105/65m3/h,
26,Trailer Pumps,HBT105.21.294RS,,,,,130/210bar,,294kW,,,101/64m3/h,
27,Trailer Pumps,HBT110.26.372RS,,,,,160/260bar,,2×186kW,,,112/73m3/h,
28,Truck Mounted Pumps,24X-4Z（Two-axles）,,,,,60/100bar,,,,,100/60m3/h,
29,Truck Mounted Pumps,32X-4Z,,,,,66bar,,,,,120m3/h,
30,Truck Mounted Pumps,36X-5Z,,,,,70bar,,,,,120m3/h,
31,Truck Mounted Pumps,38X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
32,Truck Mounted Pumps,38X-5RZ（Two-axles）,,,,,80/150bar,,,,,100/60m3/h,
33,Truck Mounted Pumps,40X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
34,Truck Mounted Pumps,43X-5RZ（Four-axles）,,,,,70/110bar,,,,,140/90m3/h,
35,Truck Mounted Pumps,47X-5RZ（Three-axles）,,,,,80/120bar,,,,,180/120m3/h,
36,Truck Mounted Pumps,49X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
37,Truck Mounted Pumps,49X-6RZ（Three-axles）,,,,,83/120bar,,,,,180/120m3/h,
38,Truck Mounted Pumps,56X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
39,Truck Mounted Pumps,63X-7RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
40,Truck Mixer,6JBJ-R,,,,,,,210/2300kW/r/min,,6m³,12-16rpm,
41,Truck Mixer,8JBJ-R,,,,,,,250/2200kW/r/min,,8m³,12-16rpm,
42,Truck Mixer,9JBH-R,,,,,,,247/2200kW/r/min,,9m³,12-16rpm,
43,Truck Mixer,10JBH,,,,,,,247/1900kW/r/min,,10m³,12-16rpm,
44,Truck Mixer,12JBJ,,,,,,,257/1900kW/r/min,,12m³,12-16rpm,
45,Batching Plants,HZS180R(Bucket),150m3/h,4m,4×20m3,,,,,,,,
46,Batching Plants,HZS180R(Belt),180m3/h,4m,4×20m3,,,,,,,,
47,Batching Plants,HZS120R(Bucket),100m3/h,4m,4×16m3,,,,,,,,
48,Batching Plants,HZS120R(Belt),120,4,4×16,,,,,,,,
49,Batching Plants,HZS90R(Bucket),75m3/h,4m,3×13m3,,,,,,,,
50,Batching Plants,HZS90R(Belt),90m3/h,4m,3×13m3,,,,,,,,
51,Batching Plants,HZS60P(Belt),50m3/h,4.2m,3×10m3,,,,,,,,
52,Placing Booms,Four-Section,,,,,,,,,,,
53,Placing Booms,Three-Section,,,,,,,,,,,
54,City Pumps,10528R,,,,,28/17Mpa,186/2100kW/(r/min),,,,105/70m3/h,
55,City Pumps,10026R,,,,,26.5/13.5Mpa,247/2200kW/(r/min),,,,100/52m3/h,
56,City Pumps,9024R,,,,,24/13Mpa,199/2300kW/(r/min),,,,90/45m3/h,
57,City Pumps,10022R,,,,,22/12Mpa,186/2100kW/(r/min),,,,100/50m3/h,
58,City Pumps,10020R,,,,,20/11Mpa,199/2300kW/(r/min),,,,100/55m3/h,
59,Trailer Pumps,HBT50.10.60RS,,,,,50/100bar,,60kW,,,49/26m3/h,
60,Trailer Pumps,HBT60.13.90SU,,,,,70/130bar,,90kW,,,67/41m3/h,
61,Trailer Pumps,HBT60.13.118RSD,,,,,70/130,,118,,,67/41,
62,Trailer Pumps,HBT60.13.118RS,,,,,70/130,,118,,,67/41,
63,Trailer Pumps,HBT60.16.110SU,,,,,90/160bar,,110kW,,,72/44m3/h,
64,Trailer Pumps,HBT80.16.199RSU,,,,,90/160bar,,199kW,,,81/49m3/h,
65,Trailer Pumps,HBT80.16.174RSU,,,,,90/160bar,,174kW,,,81/49m3/h,
66,Trailer Pumps,HBT100.18.199RSU,,,,,100/180,,186/199,,,93/54,
67,Trailer Pumps,HBT100.18.186RSU,,,,,100/180bar,,186/199kW,,,93/54m3/h,
68,Trailer Pumps,HBT105.21.273RSD,,,,,130/210,,286/273,,,105/65,
69,Trailer Pumps,HBT105.21.286RSD,,,,,130/210bar,,286/273kW,,,105/65m3/h,
70,Trailer Pumps,HBT105.21.294RS,,,,,130/210bar,,294kW,,,101/64m3/h,
71,Trailer Pumps,HBT110.26.372RS,,,,,160/260bar,,2×186kW,,,112/73m3/h,
72,Truck Mounted Pumps,24X-4Z（Two-axles）,,,,,60/100bar,,,,,100/60m3/h,
73,Truck Mounted Pumps,32X-4Z,,,,,66bar,,,,,120m3/h,
74,Truck Mounted Pumps,36X-5Z,,,,,70bar,,,,,120m3/h,
75,Truck Mounted Pumps,38X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
76,Truck Mounted Pumps,38X-5RZ（Two-axles）,,,,,80/150bar,,,,,100/60m3/h,
77,Truck Mounted Pumps,40X-5RZ（Three-axles）,,,,,70/110bar,,,,,160/100m3/h,
78,Truck Mounted Pumps,43X-5RZ（Four-axles）,,,,,70/110bar,,,,,140/90m3/h,
79,Truck Mounted Pumps,47X-5RZ（Three-axles）,,,,,80/120bar,,,,,180/120m3/h,
80,Truck Mounted Pumps,49X-6RZ（Four-axles）,,,,,113bar,,,,,180m3/h,
81,Truck Mounted Pumps,49X-6RZ（Three-axles）,,,,,83/120bar,,,,,180/120m3/h,
